Evaluations, Played
3300, 5
6000, 6
3364, 5
4800, 5
4338, 6
4400, 5
2669, 5
4300, 5
6300, 6
2497, 6
6000, 7
6600, 7
4800, 5
4200, 5
4600, 6
3100, 5
1647, 5
4100, 5
1649, 4
7300, 8
2747, 6
2300, 4
3900, 5
4700, 6
7000, 6
4500, 5
4100, 4
5423, 7
4000, 5
4300, 5
3400, 5
4300, 5
2446, 4
4000, 5
4700, 5
2554, 5
1702, 5
5600, 6
5000, 5
5600, 6
5400, 5
3524, 6
4500, 5
4200, 5
3400, 5
949, 3
5100, 5
5400, 6
5001, 6
6900, 7
3900, 5
1447, 5
5700, 7
4900, 5
2732, 5
4100, 5
1598, 4
3300, 5
5000, 6
4000, 5
4400, 6
5100, 6
5900, 6
4200, 5
1900, 4
3522, 6
4400, 5
4700, 6
3100, 5
3124, 5
4300, 6
7600, 8
3200, 5
3627, 5
7200, 6
6200, 5
1497, 5
3095, 5
1222, 5
6000, 6
5700, 5
5800, 6
3500, 4
66, 3
5100, 5
5000, 5
3900, 4
3900, 5
6500, 6
7100, 6
48, 2
5400, 6
3248, 5
4600, 5
5200, 6
3700, 4
5000, 6
5700, 6
4600, 6
3400, 5
6300, 6
5048, 7
4000, 5
2748, 5
1647, 5
1547, 5
7500, 7
4600, 5
5800, 6
3500, 5
4748, 6
3700, 5
4100, 4
4300, 6
3748, 5
5848, 6
3500, 6
458, 4
5100, 6
4000, 6
1473, 5
1497, 5
5000, 5
3248, 5
4148, 5
6200, 6
5000, 5
3700, 5
3047, 6
3300, 4
4600, 5
3800, 4
5100, 5
6700, 6
3000, 4
5224, 6
6000, 4
5800, 4
3800, 4
60, 3
5300, 4
4000, 4
5100, 5
7600, 7
3700, 5
5800, 5
5600, 5
6100, 6
3200, 5
4601, 6
6800, 6
4000, 5
7900, 7
78, 5
7400, 7
4300, 5
5100, 6
4600, 5
4700, 5
5000, 5
6000, 6
648, 3
1473, 5
3200, 4
4755, 7
4600, 5
5100, 5
452, 4
6700, 7
4000, 5
2600, 4
4500, 4
3448, 5
3900, 5
4800, 5
5100, 5
3649, 5
5700, 5
3300, 4
4348, 5
6100, 6
4700, 5
7300, 6
6700, 6
3400, 5
4400, 4
3200, 4
8900, 8
4600, 5
4300, 5
4648, 7
2800, 4
1857, 5
4000, 5
8200, 8
2098, 5
1048, 4
7700, 6
3864, 6
4824, 6
8200, 7
5700, 6
64, 3
6400, 6
5700, 5
1552, 5
5500, 5
2548, 5
6600, 6
74, 4
4200, 5
5300, 6
4300, 5
1800, 3
2000, 4
4200, 5
1098, 4
1900, 4
6600, 7
5922, 7
3600, 5
5000, 6
2600, 5
4300, 5
3034, 6
3400, 4
5700, 6
4200, 5
5300, 6
3248, 5
3800, 5
1849, 4
4999, 6
7300, 7
1948, 4
6300, 6
3964, 6
2600, 4
2748, 5
1448, 4
6000, 6
4848, 6
4000, 5
2198, 5
5100, 6
4800, 6
4600, 5
4300, 5
2900, 4
2500, 4
